search_title,database,result_title,authors,citation,venue,abstract,keywords
Efficient Mutation Killers in Action,ieeexplore,Efficient mutation killers in action,"Aichernig, Bernhard K., Harald Brandl, Elisabeth Jöbstl, and Willibald Krenn",23," In <i>Software Testing, Verification and Validation (ICST), 2011 IEEE Fourth International Conference on</i>, pp. 120-129. IEEE, 2011.","This paper presents the techniques and results of a novel model-based test case generation approach that automatically derives test cases from UML state machines. Mutation testing is applied on the modeling level to generate test cases. We present the test case generation approach, discuss the tool chain, and present the properties of the generated test cases. The main contribution of this paper is an empirical study of a car alarm system where different strategies for killing mutants are compared. We present detailed figures on the effectiveness of the test case generation technique. Although UML serves as an input language, all techniques are grounded on solid foundations: we give UML state transition diagrams a formal semantics by mapping them to Back's action systems.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Unified Modeling Language.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Unified Modeling Language</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.test case generation.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">test case generation</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.ioco.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">ioco</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.action systems.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">action systems</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
Killing strategies for model-based mutation testing,Wiley Online Library,Killing strategies for model‐based mutation testing,"Aichernig, Bernhard K., Harald Brandl, Elisabeth Jöbstl, Willibald Krenn, Rupert Schlick, and Stefan Tiran",32," <i>Software Testing, Verification and Reliability</i> 25, no. 8 (2015): 716-748.","<div class=""article-section__content mainAbstract""><h2 class=""article-section__header"">Summary</h2><p>This article presents the techniques and results of a novel model-based test case generation approach that automatically derives test cases from UML state machines. The main contribution of this article is the fully automated fault-based test case generation technique together with two empirical case studies derived from industrial use cases. Also, an in-depth evaluation of different fault-based test case generation strategies on each of the case studies is given and a comparison with plain random testing is conducted. The test case generation methodology supports a wide range of UML constructs and is grounded on the formal semantics of Back's action systems and the well-known input–output conformance relation. Mutation operators are employed on the level of the specification to insert faults and generate test cases that will reveal the faults inserted. The effectiveness of this approach is shown and it is discussed how to gain a more expressive test suite by combining cheap but undirected random test case generation with the more expensive but directed mutation-based technique. Finally, an extensive and critical discussion of the lessons learnt is given as well as a future outlook on the general usefulness and practicability of mutation-based test case generation. Copyright © 2014 John Wiley &amp; Sons, Ltd.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">test case generation; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">model-based testing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">mutation testing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">random testing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">ioco; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">action systems; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">Unified Modeling Language; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">UML</span></li>"
Using mutation analysis for assessing and comparing testing coverage criteria,ieeexplore,Using mutation analysis for assessing and comparing testing coverage criteria,"Andrews, James H., Lionel C. Briand, Yvan Labiche, and Akbar Siami Namin",330," <i>IEEE Transactions on Software Engineering</i> 32, no. 8 (2006): 608-624.","The empirical assessment of test techniques plays an important role in software testing research. One common practice is to seed faults in subject software, either manually or by using a program that generates all possible mutants based on a set of mutation operators. The latter allows the systematic, repeatable seeding of large numbers of faults, thus facilitating the statistical analysis of fault detection effectiveness of test suites; however, we do not know whether empirical results obtained this way lead to valid, representative conclusions. Focusing on four common control and data flow criteria (block, decision, C-use, and P-use), this paper investigates this important issue based on a middle size industrial program with a comprehensive pool of test cases and known faults. Based on the data available thus far, the results are very consistent across the investigated criteria as they show that the use of mutation operators is yielding trustworthy results: generated mutants can be used to predict the detection effectiveness of real faults. Applying such a mutation analysis, we then investigate the relative cost and effectiveness of the above-mentioned criteria by revisiting fundamental questions regarding the relationships between fault detection, test suite size, and control/data flow coverage. Although such questions have been partially investigated in previous studies, we can use a large number of mutants, which helps decrease the impact of random variation in our analysis and allows us to use a different analysis approach. Our results are then; compared with published studies, plausible reasons for the differences are provided, and the research leads us to suggest a way to tune the mutation analysis process to possible differences in fault detection probabilities in a specific environment","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.experimental design..QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">experimental design.</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Testing and debugging.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Testing and debugging</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.testing strategies.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">testing strategies</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.test coverage of code.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">test coverage of code</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
Using mutation to assess fault detection capability of model review,Wiley Online Library,Using mutation to assess fault detection capability of model review,"Arcaini, Paolo, Angelo Gargantini, and Elvinia Riccobene",6," <i>Software Testing, Verification and Reliability</i> 25, no. 5-7 (2015): 629-652.","<div class=""article-section__content mainAbstract""><h2 class=""article-section__header"">Summary</h2><p>Among validation techniques, <em>model review</em> is a static analysis approach that can be performed at the early stages of software development, at the specification level, and aims at determining if a model owns certain quality attributes (like completeness, consistency and minimality). However, the model review capability to detect behavioural faults has never been measured. In this paper, a methodology and a supporting tool for evaluating the fault detection capability of a NuSMV model advisor are presented, which performs an automatic static model review of NuSMV models. The approach is based on the use of <em>mutation</em> in a similar way as in mutation testing: several mutation operators for NuSMV models are defined, and the model advisor is used to detect behavioural faults by statically analysing mutated specifications. In this way, it is possible to measure the model advisor ability to discover faults. To improve the quality of the analysis, the equivalence between a NuSMV model and any of its mutants must be checked. To perform this task, this paper proposes a technique based on the concept of equivalent Kripke structures, as NuSMV models are Kripke structures. A number of experiments assess the fault-detecting capability, precision and accuracy of the proposed approach. Analysis of variance is used to check if the results are statistically significant. Some relationships among mutation operators and model quality attributes are also established. Copyright © 2014 John Wiley &amp; Sons, Ltd.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">mutation analysis; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">model review; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">fault detection capability; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">NuSMV; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">equivalent mutants</span></li>"
An empirical evaluation of mutation testing for improving the test quality of safety-critical software,ieeexplore,An empirical evaluation of mutation testing for improving the test quality of safety-critical software,"Baker, Richard, and Ibrahim Habli",24," <i>IEEE Transactions on Software Engineering</i> 39, no. 6 (2013): 787-805.","Testing provides a primary means for assuring software in safety-critical systems. To demonstrate, particularly to a certification authority, that sufficient testing has been performed, it is necessary to achieve the test coverage levels recommended or mandated by safety standards and industry guidelines. Mutation testing provides an alternative or complementary method of measuring test sufficiency, but has not been widely adopted in the safety-critical industry. In this study, we provide an empirical evaluation of the application of mutation testing to airborne software systems which have already satisfied the coverage requirements for certification. Specifically, we apply mutation testing to safety-critical software developed using high-integrity subsets of C and Ada, identify the most effective mutant types, and analyze the root causes of failures in test cases. Our findings show how mutation testing could be effective where traditional structural coverage analysis and manual peer review have failed. They also show that several testing issues have origins beyond the test activity, and this suggests improvements to the requirements definition and coding process. Our study also examines the relationship between program characteristics and mutation survival and considers how program size can provide a means for targeting test areas most likely to have dormant faults. Industry feedback is also provided, particularly on how mutation testing can be integrated into a typical verification life cycle of airborne software.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.certification.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">certification</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Mutation.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Mutation</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.safety-critical software.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">safety-critical software</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.verification.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">verification</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">testing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
From genetic to bacteriological algorithms for mutation-based testing,Wiley Online Library,From genetic to bacteriological algorithms for mutation‐based testing,"Baudry, Benoit, Franck Fleurey, Jean‐Marc Jézéquel, and Yves Le Traon",82," <i>Software Testing, Verification and Reliability</i> 15, no. 2 (2005): 73-96.","<div id=""en_main_abstract"" class=""article-section__content mainAbstract"" lang=""en""><h2 class=""article-section__header"">Abstract</h2><p>The level of confidence in a software component is often linked to the quality of its test cases. This quality can in turn be evaluated with mutation analysis: faults are injected into the software component (making mutants of it) to check the proportion of mutants detected (‘killed’) by the test cases. But while the generation of a set of basic test cases is easy, improving its quality may require prohibitive effort. This paper focuses on the issue of automating the test optimization. The application of genetic algorithms would appear to be an interesting way of tackling it. The optimization problem is modelled as follows: a test case can be considered as a predator while a mutant program is analogous to a prey. The aim of the selection process is to generate test cases able to kill as many mutants as possible, starting from an initial set of predators, which is the test cases set provided by the programmer. To overcome disappointing experimentation results, on .Net components and unit Eiffel classes, a slight variation on this idea is studied, no longer at the ‘animal’ level (lions killing zebras, say) but at the bacteriological level. The bacteriological level indeed better reflects the test case optimization issue: it mainly differs from the genetic one by the introduction of a memorization function and the suppression of the crossover operator. The purpose of this paper is to explain how the genetic algorithms have been adapted to fit with the issue of test optimization. The resulting algorithm differs so much from genetic algorithms that it has been given another name: bacteriological algorithm. Copyright © 2005 John Wiley &amp; Sons, Ltd.</p></div>","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">automatic test generation; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">evolutionist algorithms; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">object-oriented testing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">mutation analysis</span></li>"
Exploiting model morphology for event-based testing,ieeexplore,Exploiting model morphology for event-based testing,"Belli, Fevzi, and Mutlu Beyazıt",3," <i>IEEE Transactions on Software Engineering</i> 41, no. 2 (2015): 113-134.","Model-based testing employs models for testing. Model-based mutation testing (MBMT) additionally involves fault models, called mutants, by applying mutation operators to the original model. A problem encountered with MBMT is the elimination of equivalent mutants and multiple mutants modeling the same faults. Another problem is the need to compare a mutant to the original model for test generation. This paper proposes an event-based approach to MBMT that is not fixed on single events and a single model but rather operates on sequences of events of length k ≥ 1 and invokes a sequence of models that are derived from the original one by varying its morphology based on k. The approach employs formal grammars, related mutation operators, and algorithms to generate test cases, enabling the following: (1) the exclusion of equivalent mutants and multiple mutants; (2) the generation of a test case in linear time to kill a selected mutant without comparing it to the original model; (3) the analysis of morphologically different models enabling the systematic generation of mutants, thereby extending the set of fault models studied in related literature. Three case studies validate the approach and analyze its characteristics in comparison to random testing and another MBMT approach.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutant selection.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutant selection</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Model-based mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Model-based mutation testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.grammar-based testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">grammar-based testing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
"Mutation Testing of"" Go-Back"" Functions Based on Pushdown Automata",ieeexplore,"Mutation Testing of ""Go-Back"" Functions Based on Pushdown Automata","Belli, Fevzi, Mutlu Beyazit, Tomohiko Takagi, and Zengo Furukawa",7,"Software Testing, Verification and Validation (ICST), 2011 IEEE Fourth International Conference on","A go-back (GB) function for canceling recent user or system operations and going back to and resuming of previous state(s) is very often used regardless of the application domain. Therefore, faulty handling of them can cause severe damages in those applications. This paper proposes a mutation-based approach to testing GB functions modeled by pushdown automata. Novel mutation operators, recent coverage criteria, and a new algorithm for test case generation are introduced. A case study validates the approach and discusses its characteristics.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.pushdown automata.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">pushdown automata</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.go-back function.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">go-back function</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.model-based testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">model-based testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
An approach for testing pointcut descriptors in aspectj,Wiley Online Library,An approach for testing pointcut descriptors in aspectj,"Delamare, Romain, Benoit Baudry, Sudipto Ghosh, Shashank Gupta, and Yves Le Traon",7," <i>Software Testing, Verification and Reliability</i> 21, no. 3 (2011): 215-239.","Aspect-oriented programming (AOP) promises better software quality through enhanced modularity. Crosscutting concerns are encapsulated in separate units called aspects and are introduced at specific points in the base program at compile time or runtime. However, aspect-oriented mechanisms also introduce new risks for reliability that must be tackled by specific testing techniques in order to fully benefit from the use of AOP. This paper focuses on the pointcut descriptor (PCD) that declares the set of points in the base program's execution where the crosscutting concern must be woven. A fault in the PCD can have a ripple effect and result in many different faults. New behavior may be added in unexpected places, or places where new behavior should be added may be missed. When implementing aspect-oriented programs with AspectJ, JUnit is most commonly used to test the program. However, JUnit does not offer any mechanism to look for faults specifically located in the PCD. As a consequence, these faults can be detected only through complex test scenarios and side effects that are difficult to trigger and observe. This paper proposes to monitor the execution of advices in an aspect-oriented program and use this information to build test cases that target faults in PCDs. The AdviceTracer tool has been developed to automatically monitor and store all information related to advice executions. It also offers a set of operations that can be used to check the presence or absence of advices at specific points in the execution. These operations improve the definition of an oracle for PCD test cases. An empirical study is performed to compare JUnit and AdviceTracer for testing PCDs in terms of the complexity of test cases and their ability to detect faults. The study is performed on a Healthwatcher system that has 93 classes and 19 PCDs. It reveals that test cases that use AdviceTracer to test PCDs are easier to write (shorter test cases and written in less time than with JUnit) and detect more faults. ","<li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">software testing; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">aspect-oriented programming; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">mutation analysis; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">test oracle; </span></li><li class=""article-info__keywords-item""><span class=""article-info__keywords-data"">test framework</span></li>"
Generating complex and faulty test data through model-based mutation analysis,ieeexplore,Generating complex and faulty test data through model-based mutation analysis,"Di Nardo, Daniel, Fabrizio Pastore, and Lionel Briand",8," In <i>Software Testing, Verification and Validation (ICST), 2015 IEEE 8th International Conference on</i>, pp. 1-10. IEEE, 2015.","Testing the correct behaviour of data processing systems in the presence of faulty data is extremely expensive. The data structures processed by these systems are often complex, with many data fields and multiple constraints among them. Software engineers, in charge of testing these systems, have to handcraft complex data files or databases, while ensuring compliance with the multiple constraints to prevent the generation of trivially invalid inputs. In addition, assessing test results often means analysing complex output and log data. Though many techniques have been proposed to automatically test systems based on models, little exists in the literature to support the testing of systems where the complexity is in the data consumed in input or produced in output, with complex constraints between them. In particular, such systems often need to be tested with the presence of faults in the input data, in order to assess the robustness and behaviour of the system in response to such faults. This paper presents an automated test technique that relies upon six generic mutation operators to automatically generate faulty data. The technique receives two inputs: field data and a data model, i.e. a UML class diagram annotated with stereotypes and OCL constraints. The annotated class diagram is used to tailor the behaviour of the generic mutation operators to the fault model that is assumed for the system under test and the environment in which it is deployed. Empirical results obtained with a large data acquisition system in the satellite domain show that our approach can successfully automate the generation of test suites that achieve slightly better instruction coverage than manual testing based on domain expertise.",
