AbouTrab et al.\cite{aboutrab2013testing},Testing real-time embedded systems using timed automata based approaches,A,test strategy evaluation,n/a,spec.,N,hand.,,hand.,,well,n/a,n/a,C,n/a,n/a,N,
Aichernig et al.\cite{aichernig2011efficient}*,Efficient Mutation Killers in Action,G,test data generation,int.,spec. (E),Y,exi.,exi.,,$\mu$-java,not suff.,n/a,n/a,java,n/a,n/a,N,
Aichernig et al.\cite{aichernig2015killing},Killing strategies for model-based mutation testing,G,test data generation,n/a,spec. (E),Y,exi.,exi.,,$\mu$-java,well,manual invest.,n/a,UML,S,S,N,
Ali et al.\cite{ali2007state},A state-based approach to integration testing based on UML models,A,test strategy evaluation,int.,spec.,N,n/a,,n/a,,well,n/a,n/a,java,P,P,Y,
Andrews et al.\cite{andrews2003general} ,General test result checking with log file analysis, A , test oracle,unit,spec.,N,self.,,self.,Self-written,well, n/a , mutant sample, C ,"P, S",S,N,
Andrews et al.\cite{andrews2006using} ,Using mutation analysis for assessing and comparing testing coverage criteria, A , test strategy evaluation ,n/a,struc. ,N,exi. ,,exi. , \cite{andrews2003general} ,well,  not killed as equivalent , mutant sample, C ,S,S,Y,*
Androutsopoulos et al.\cite{androutsopoulos2014analysis},An analysis of the relationship between conditional entropy and failed error propagation in software testing,A,test strategy evaluation,n/a,others,Y,exi.,exi.,,SMT-C,well,n/a,"fixed number, weak mutation",C,"S, M",M,N,
Antoniol et al.\cite{antoniol2002case},A case study using the round-trip strategy for state-based class testing,A,test strategy evaluation,n/a,spec.,N,n/a,,n/a,,well,n/a,n/a,C++,S,S,N,*
Arcaini et al.\cite{arcaini2015using},Using mutation to assess fault detection capability of model review,A,model review,n/a,others,N,n/a,,n/a,,well,model checker,n/a,spec.,n/a,n/a,Y,*
Arcuri and Briand\cite{arcuri2011adaptive},Adaptive random testing: An illusion of effectiveness?,A,test strategy evaluation,n/a,spec.,Y,exi.,exi.,,MuJava,well,  not killed as equivalent ,mutant sample,java,"P, S",S,N,
Asoudeh and Labiche\cite{asoudeh2014multi},Multi-objective construction of an entire adequate test suite for an EFSM,A,test data generation,n/a,spec. (E),Y,exi.,exi.,,MAJOR,well,n/a,n/a,java,n/a,n/a,N,
Au{\ss}erlechner et al.\cite{ausserlechner2013right},The right choice matters! SMT solving substantially improves model-based debugging of spreadsheets,A,fault localisation,other,others,N,n/a,,n/a,,well,n/a,n/a,spread-sheet,n/a,n/a,Y,
Baker and Habli\cite{baker2013empirical},An empirical evaluation of mutation testing for improving the test quality of safety-critical software,A,test strategy evaluation,n/a,struc. ,"Y, N","exi., hand.",exi.,hand.,MILU,well,manual invest.,n/a,"C, Ada",P,P,N,*
Bandyopadhyay and Ghosh\cite{bandyopadhyay2009test},Test input generation using UML sequence and state machines models,A,test data generation,unit,spec.,Y,exi.,exi.,,MuJava,well,n/a,n/a,java,S,S,N,*
Bardin et al.\cite{bardin2015sound},Sound and quasi-complete detection of infeasible test requirements,G,test data generation,unit,hybrid ,Y,exi.,exi.,,MuJava,well,n/a,weak mutation,java,"P, S",S,Y,
Bartolini et al.\cite{bartolini2011bringing},Bringing white-box testing to service oriented architectures through a service oriented approach,A,test-suite reduction,n/a,hybrid ,N,hand.,,hand.,,not suff.,n/a,selection strategy,PHP,S,S,Y,
Baudry et al.\cite{baudry2000building},Building trust into oo components using a genetic analogy,G,"test data generation, test strategy evaluation",unit,struc. (E),N,exi. ,,exi. ,$\mu$Slayer,well,manual invest.,n/a,Eiffel,n/a,n/a,Y,
Baudry et al.\cite{baudry2002genes}*,Genes and bacteria for automatic test cases optimization in the. net environment,G,test data generation,sys.,spec. (E),N,self.,,self.,,well,manual invest.,n/a,C\#,n/a,n/a,N,
Baudry et al.\cite{baudry2005genetic},From genetic to bacteriological algorithms for mutation-based testing,G,test data generation,"unit, sys.",struc. (E),N,n/a,,n/a,,well,reduce likelihood,n/a,"Eiffel, C\#",n/a,n/a,N,
Belli and Beyaz{\i}t\cite{belli2015exploiting},Exploiting model morphology for event-based testing,G,test data generation,other,spec. (E),N,n/a,,n/a,,well,reduce likelihood,fixed number,n/a,n/a,n/a,N,
Belli et al.\cite{belli2011mutation},"Mutation Testing of"" Go-Back"" Functions Based on Pushdown Automata",A,"test data generation, test strategy evaluation",n/a,spec.,N,n/a,,n/a,,well,deterministic model,n/a,spec.,n/a,n/a,N,*
Bertolino et al.\cite{bertolino2012automatic},Automatic XACML requests generation for policy testing,A,"test data generation, test strategy evaluation",n/a,spec.,N,exi. ,,exi. ,\cite{martin2007fault},well,n/a,n/a,XACML,n/a,n/a,N,
Briand et al.\cite{briand2004assessing},Assessing and improving state-based class testing: A series of experiments,A,test strategy evaluation,unit,spec.,N,n/a,,n/a,,well, manual invest. ,n/a,"java, c++",S,S,Y,
Briand et al.\cite{briand2004using} ,Using simulation to empirically investigate test coverage criteria based on statechart, A , test strategy evaluation ,n/a,spec.,N,n/a,,n/a,,n/a,  not killed as equivalent , n/a," Java, C++ ",n/a,n/a,N,
Briand et al.\cite{briand2005improving},Improving statechart testing criteria using data flow information,A,test strategy evaluation,n/a,hybrid ,N,n/a,,n/a,,well,n/a,n/a,java,S,S,Y,
Briand et al.\cite{briand2006automated},"Automated, contract-based user testing of commercial-off-the-shelf components",G,"test data generation, test-suite reduction,test strategy evaluation",n/a,"spec., spec. (E)",N,hand.,,hand.,,not suff.,manual invest.,mutant sample,EJB,n/a,n/a,N,
Cai et al.and Lyu\cite{cai2005effect},The effects of time constraints on test case prioritization: A series of controlled experiments,A,test strategy evaluation,n/a,struc. ,N,n/a,,n/a,,n/a,n/a,n/a,C,S,S,N,
Chae et al.\cite{chae2011automated},An automated approach to reducing test suites for testing retargeted C compilers for embedded systems,A,"test data generation, test-suite reduction",other,struc. ,N,n/a,,n/a,,well,n/a,n/a,C,M,M,N,
Chen et al.\cite{chen2002can} ,Can fault-exposure-potential estimates improve the fault detection abilities of test suites?,G, test strategy evaluation ,n/a,struc. (E),Y,exi.,exi.,, Proteum ,n/a,no invest., n/a, C ,S,S,Y,
Cheon\cite{cheon2007abstraction},Abstraction in assertion-based test oracles,A, test oracle,unit,spec.,N,hand.,,hand.,manual,not suff.,manual invest.,fixed number,java,P,P,N,
Chevalley and Th{\'e}venod-Fosse\cite{chevalley2001empirical},An empirical evaluation of statistical testing designed from UML state diagrams: the flight guidance system case study,A,test data generation,n/a,spec.,N,self.,,self.,Self-written,well, manual invest. ,n/a,java,S,S,N,
Czemerinski et al.\cite{czemerinski2013behaviour}*,Behaviour abstraction coverage as black-box adequacy criteria,A,test strategy evaluation,unit,spec.,Y,exi.,exi.,,MuJava,well,no invest.,mutant sample,java,"P, S",S,Y,
Czemerinski et al.\cite{czemerinski2015behaviour} ,Behaviour abstraction adequacy criteria for API call protocol testing, A , test strategy evaluation , unit ,spec.,Y,exi.,exi.,, $\mu$-JAVA ,well,  not killed as equivalent , n/a, Java ,"P, S",S,Y,*
Dadeau et al.\cite{dadeau2011mutation},Mutation-based test generation from security protocols in HLPSL,G,test data generation,n/a,spec. (E),N,self.,,self.,,well,n/a,n/a,HLPSL,n/a,n/a,N,*
