,search_title,database,result_title,authors,citation,venue,abstract,keywords
-1,Effect of Test Set Minimization on Fault Detection Effectiveness,acm,Effect of test set minimization on fault detection effectiveness,"Wong, W. Eric, Joseph R. Horgan, Saul London, and Aditya P. Mathur",383," In <i>Proceedings of the 17th international conference on Software engineering</i>, pp. 41-50. ACM, 1995.","
  <div class=""tabbody"">
              <div style=""margin-left:10px; margin-top:10px; margin-right:10px; margin-bottom: 10px;"">
                  An abstract is not available.
              </div>
                      

</div>
            ",
-1,Test Set Size Minimization and Fault Detection Effectiveness: A Case Study in a Space Application,ieeexplore,Test set size minimization and fault detection effectiveness: A case study in a space application,"Wong, W. Eric, Joseph R. Horgan, Aditya P. Mathur, and Alberto Pasquini",117," <i>Journal of Systems and Software</i> 48, no. 2 (1999): 79-89.","An important question in software testing is whether it is reasonable to apply coverage based criteria as a filter to reduce the size of a test set. An empirical study was conducted using a test set minimization technique to explore the effect of reducing the size of a test set, while keeping block coverage constant, on the fault detection strength of the resulting minimized test set. Two types of test sets were examined. For those with respect to a fixed size, no test case screening was conducted during the generation, whereas for those with respect to a fixed coverage, each subsequent test case had to improve the overall coverage in order to be included. The study reveals that no matter how a test set is generated (with or without any test case screening) block minimized test sets have a size/effectiveness advantage, in terms of a significant reduction in test set size but with almost the same fault detection effectiveness, over the original non-minimized test sets.",
-1,Fault Detection Effectiveness of Mutation and Data Flow Testing,Springer,Fault detection effectiveness of mutation and data flow testing,"Wong, W. Eric, and Aditya P. Mathur",67," <i>Software Quality Journal</i> 4, no. 1 (1995): 69-83.","<h2 class=""Heading"">Abstract</h2><p class=""Para"">We report results from an experiment to compare the fault detection effectiveness of mutation, its variants and the all-uses data flow criteria. Adequate test sets were generated randomly, as opposed to by human testers as in some previous studies. We view our results in the light of those from earlier studies comparing mutation with path-oriented testing strategies. We identify and discuss factors that one might consider while evaluating an adequacy criterion for use in practice. Results from our experiments strengthen a hypothesis that an adequacy criterion based on one of the two variants of mutation has superior fault detection effectiveness than that of the all-uses criterion.</p>","<h3 class=""Heading"">Keywords</h3><span class=""Keyword"">effectiveness&nbsp;</span><span class=""Keyword"">data flow&nbsp;</span><span class=""Keyword"">mutation&nbsp;</span><span class=""Keyword"">constrained mutation&nbsp;</span>"
-1,Reducing the Cost of Mutation Testing: An Empirical Study,Elsevier,Reducing the cost of mutation testing: An empirical study,"Wong, W. Eric, and Aditya P. Mathur",180," <i>Journal of Systems and Software</i> 31, no. 3 (1995): 185-196.",,
-1,Mutation TestingAn Evolving Technique,ieeexplore,Mutation testing-an evolving technique,"Woodward, Martin R",26," In <i>Software Testing for Critical Systems, IEE Colloquium on</i>, pp. 3-1. IET, 1990.","The paper provides a brief review of the program testing technique known as mutation testing, an error-based testing technique. A large number of simple changes (mutations) are made to program one at a time. Test data then has to be found which distinguishes the mutated versions from the original version. An underlying assumption of mutation testing is that experienced programmers write nearly correct programs. Hence small perturbations of the original program are expected to cause an observable difference to the program's performance. Mutation testing as originally developed was considered by many as somewhat bizarre and costly to perform. Subsequently a less demanding form known as weak mutation testing was proposed and the original technique was renamed strong mutation testing. More recently firm mutation has been introduced as an intermediate approach. The author discusses these types of mutation testing. As an example of the wide applicability of the mutation approach, its use in testing algebraic specifications is considered.",
-1,OBJTEST: An Experimental Testing Tool for Algebraic Specifications,ieeexplore,OBJTEST: an experimental testing tool for algebraic specifications,"Woodward, M. R",5," In <i>Automating Formal Methods for Computer Assisted Prototying, IEE Colloquium on</i>, pp. 2-pp. IET, 1992.","Algebraic specifications involve the development of 'axioms' or equations to model the behaviour of systems. The technique is one example of a formal method of specification. By using the equations to drive a process of term-rewriting, test expressions can be evaluated, thus providing an execution facility. Such animation certainly helps in checking typographical and notational errors. However, there is still a need for thorough testing of algebraic specifications to uncover more subtle errors. The author describes in outline, a prototype testing tool for algebraic specifications, OBJTEST, built around the ObjEx system. The two principal facets of the tool are the automatic generation of 'exhaustive' sets of test expressions from a specification, followed by the use of these test expressions in mutation testing of the given specification.",
-1,Errors in Algebraic Specifications and an Experimental Mutation Testing Tool,"MR Woodward - Software Engineering Journal, 1993 - IET",Errors in algebraic specifications and an experimental mutation testing tool,"Woodward, Martin R",53," <i>Software Engineering Journal</i> 8, no. 4 (1993): 211-224.","There is an increasing trend towards more formality in the development of specifications of software systems in order to reduce the likelihood of errors as early as possible in the development process. The algebraic approach to specification, with its equational form, leads to the added advantage of executability via the process of term rewriting. Nevertheless, erroneous algebraic specifications can still be developed. As evidence of possible errors, the algebraic specifications produced by students have been analysed and the results are presented. The paper describes OBJTEST, a prototype testing system for algebraic specifications. The two principal facets of the system are the user-guided automatic generation of sets of test expressions from a specification, and then the use of these test expressions in mutation testing of the given specification. Some preliminary experience with the system is reported.",
-1,Mutation TestingIts Origin and Evolution,Elsevier,Mutation testing—its origin and evolution,"Woodward, Martin R",70," <i>Information and Software Technology</i> 35, no. 3 (1993): 163-169.",,<span>software testing</span>
-1,From Weak to Strong Dead or Alive? An Analysis of Some Mutationtesting Issues,ieeexplore,"From weak to strong, dead or alive? an analysis of some mutation testing issues","Woodward, M. R., and K. Halewood",131," In <i>Software Testing, Verification, and Analysis, 1988., Proceedings of the Second Workshop on</i>, pp. 152-158. IEEE, 1988.","The authors argue that strong mutation testing and weak mutation testing are in fact extreme ends of a spectrum of mutation approaches. The term firm mutation is introduced to represent the middle ground in this spectrum. The authors also argue, by means of a number of small examples, that there is a potential problem concerning the criterion for deciding whether a mutant is dead or live. A variety of solutions are suggested. Practical considerations for a firm-mutation testing system, with greater user control over the nature of result comparison, are discussed. Such a system is currently under development as part of an interpretive development environment.",
？,Mutation Analysis of Parameterized Unit Tests,ieeexplore,Mutation analysis of parameterized unit tests,"Xie, Tao, Nikolai Tillmann, Jonathan de Halleux, and Wolfram Schulte",8," In <i>Software Testing, Verification and Validation Workshops, 2009. ICSTW'09. International Conference on</i>, pp. 177-181. IEEE, 2009.","Recently parameterized unit testing has emerged as a promising and effective methodology to allow the separation of (1) specifying external, black-box behavior (e.g., assumptions and assertions) by developers and (2) generating and selecting internal, white-box test inputs (i.e., high-code-covering test inputs) by tools. A parameterized unit test (PUT) is simply a test method that takes parameters, specifies assumptions on the parameters, calls the code under test, and specifies assertions. The test effectiveness of PUTs highly depends on the way that they are written by developers. For example, if stronger assumptions are specified, only a smaller scope of test inputs than intended are generated by tools, leading to false negatives in terms of fault detection. If weaker assertions are specified, erroneous states induced by the test execution do not necessarily cause assertion violations, leading to false negatives. Detecting these false negatives is challenging since the insufficiently written PUTs would just pass. In this paper, we propose a novel mutation analysis approach for analyzing PUTs written by developers and identifying likely locations in PUTs for improvement. The proposed approach is a first step towards helping developers write better PUTs in practice.","
<strong class=""ng-binding"">Author Keywords </strong>
<div>
<!-- ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.parameterized unit testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">parameterized unit testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.Unit testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">Unit testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.mutation testing.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">mutation testing</a>, 
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index --><span ng-repeat=""term in ::keyword.kwd track by $index"" class=""ng-binding ng-scope"">
<a href=""/search/searchresult.jsp?matchBoolean=true&amp;queryText=&quot;Index%20Terms&quot;:.QT.test generation.QT.&amp;newsearch=true"" ng-bind-html=""::term"" data-tealium_data=""{&quot;keywordType&quot;: &quot;Author Keywords &quot;}"" class=""ng-binding"">test generation</a>
</span><!-- end ngRepeat: term in ::keyword.kwd track by $index -->
</div>
"
