Aichernig et al.\cite{aichernig2015killing},G,test data generation,n/a,spec. (E),Y,exi.,exi.,,$\mu$-java,well,manual invest.,n/a,UML,S,S,N,
Androutsopoulos et al.\cite{androutsopoulos2014analysis},A,test strategy evaluation,n/a,others,Y,exi.,exi.,,SMT-C,well,n/a,"fixed number, weak mutation",C,"S, M",M,N,
Arcuri and Briand\cite{arcuri2011adaptive},A,test strategy evaluation,n/a,spec.,Y,exi.,exi.,,MuJava,well,  not killed as equivalent ,mutant sample,java,"P, S",S,N,
Asoudeh and Labiche\cite{asoudeh2014multi},A,test data generation,n/a,spec. (E),Y,exi.,exi.,,MAJOR,well,n/a,n/a,java,n/a,n/a,N,
Baker and Habli\cite{baker2013empirical},A,test strategy evaluation,n/a,struc. ,"Y, N","exi., hand.",exi.,hand.,MILU,well,manual invest.,n/a,"C, Ada",P,P,N,*
Bandyopadhyay and Ghosh\cite{bandyopadhyay2009test},A,test data generation,unit,spec.,Y,exi.,exi.,,MuJava,well,n/a,n/a,java,S,S,N,*
Bardin et al.\cite{bardin2015sound},G,test data generation,unit,hybrid ,Y,exi.,exi.,,MuJava,well,n/a,weak mutation,java,"P, S",S,Y,
Czemerinski et al.\cite{czemerinski2013behaviour},A,test strategy evaluation,unit,spec.,Y,exi.,exi.,,MuJava,well,no invest.,mutant sample,java,"P, S",S,Y,
Czemerinski et al.\cite{czemerinski2015behaviour} , A , test strategy evaluation , unit ,spec.,Y,exi.,exi.,, $\mu$-JAVA ,well,  not killed as equivalent , n/a, Java ,"P, S",S,Y,*
Delamare et al.\cite{delamare2011approach},A, test oracle,unit,struc. ,Y,exi.,exi.,,AjMutator,well,manual invest.,n/a,AspectJ,S,S,N,
Fraser and Walkinshaw\cite{fraser2015assessing},G,"test data generation, test strategy evaluation",unit,struc. (E),Y,"exi., part.","exi., part.",,"Javalanche, EvoSuite",well,n/a,n/a,java,"P, S",S,N,
Kanewala and Bieman\cite{kanewala2013using},A,test oracle,unit,others,Y,exi.,exi.,,$\mu$-java,well,n/a,n/a,java,P,P,N,
Khalil and Labiche\cite{khalil2010round},A,test strategy evaluation,n/a,spec.,Y,exi.,exi.,,MuJava,well,  not killed as equivalent ,n/a,java,S,S,Y,
